country	victims	injured
0	0	0
Afghanistan	1255	2144
Australia	4	11
Austria	4	22
Bangladesh	33	92
Belgium	40	346
Benin	4	0
Burkina Faso	15	0
Canada	2	9
DRC	38	69
Denmark	2	5
Egypt	395	302
Egypt /  Russia	224	0
Finland	2	8
France	238	894
Germany	13	76
Indonesia	39	93
Iran	62	152
Iraq	2538	4734
Jordan	15	37
Kazakhstan	7	40
Kuwait	27	227
Lebanon	43	240
Libya	86	227
Malaysia	0	8
New Zealand	1	6
Nigeria	11	0
Pakistan	564	1177
Philippines	1269	1582
Russia	48	17
Saudi Arabia	40	132
Spain	16	152
Sri Lanka	277	502
Sweden	5	15
Syria	519	764
Tajikistan	21	3
Tunisia	73	105
Turkey	310	1112
United Kingdom	37	189
United States	72	108
Yemen	187	411
